hsa_amd_hw_exception_reset_type_t;enum hsa_amd_hw_exception_reset_type_t
__uintmax_t;unsigned long
hsa_amd_gpu_hw_exception_info_t;struct hsa_amd_gpu_hw_exception_info_s
__FILE;struct _IO_FILE
__sig_atomic_t;int
hsa_amd_svm_model_t;enum hsa_amd_svm_model_s
hsa_amd_ipc_signal_t;hsa_amd_ipc_memory_t
hsa_agent_feature_t;enum hsa_agent_feature_t
hsa_amd_event_type_t;enum hsa_amd_event_type_s
int_least64_t;__int_least64_t
hsa_region_segment_t;enum hsa_region_segment_t
int_least32_t;__int_least32_t
int64_t;__int64_t
__ssize_t;long
uint_least32_t;__uint_least32_t
hsa_barrier_or_packet_t;struct hsa_barrier_or_packet_s
hsa_amd_memory_pool_global_flag_t;enum hsa_amd_memory_pool_global_flag_s
__nlink_t;unsigned long
__int_least64_t;__int64_t
_Float64;double
__fsword_t;long
uint32_t;__uint32_t
intptr_t;long
__time_t;long
__int_least16_t;__int16_t
__blkcnt64_t;long
__blksize_t;long
hsa_access_permission_t;enum hsa_access_permission_t
hsa_amd_signal_attribute_t;enum hsa_amd_signal_attribute_t
__loff_t;__off64_t
hsa_flush_mode_t;enum hsa_flush_mode_t
hsa_code_object_t;struct hsa_code_object_s
hsa_callback_data_t;struct hsa_callback_data_s
hsa_amd_hw_exception_reset_cause_t;enum hsa_amd_hw_exception_reset_cause_t
hsa_exception_policy_t;enum hsa_exception_policy_t
hsa_executable_symbol_t;struct hsa_executable_symbol_s
hsa_amd_agent_memory_pool_info_t;enum hsa_amd_agent_memory_pool_info_t
int_fast64_t;long
__u_char;unsigned char
uint_least16_t;__uint_least16_t
hsa_amd_barrier_value_packet_t;struct hsa_amd_barrier_value_packet_s
hsa_signal_t;struct hsa_signal_s
int_least16_t;__int_least16_t
hsa_amd_region_info_t;enum hsa_amd_region_info_s
hsa_signal_value_t;int64_t
hsa_cache_t;struct hsa_cache_s
hsa_symbol_kind_t;enum hsa_symbol_kind_t
hsa_amd_memory_fault_reason_t;enum hsa_amd_memory_fault_reason_t
hsa_packet_header_t;enum hsa_packet_header_t
intmax_t;__intmax_t
hsa_amd_iommu_version_t;enum hsa_amd_iommu_version_t
__fsblkcnt64_t;unsigned long
uint64_t;__uint64_t
int16_t;__int16_t
